t,name,resid
32.25,Transient 3,0.508462818328343
32.25,Transient 4,-0.5622313904295324
32.25,Transient 5,-0.11514303894410997
32.5,Transient 1,-1.467164113691333
32.5,Transient 2,-0.18844642616642593
32.5,Transient 3,0.2562830961132611
32.5,Transient 4,0.7802783055697802
32.5,Transient 5,-0.28744371333431407
32.75,Transient 1,0.679329728796253
32.75,Transient 2,-1.5684841554175268
32.75,Transient 3,-0.1516703249770048
32.75,Transient 4,0.3551218894759916
32.75,Transient 5,1.9122135610663191
33,Transient 1,0.177452222466176
33,Transient 2,0.2421386532197327
33,Transient 3,-0.5841401732834266
33,Transient 4,1.5519783918888512
33,Transient 5,-0.596177879644683
33.25,Transient 1,1.2782377506643672
33.25,Transient 2,-0.3285213696533741
33.25,Transient 3,-0.2362154754186976
33.25,Transient 4,-1.247866079191446
33.25,Transient 5,-0.28364876777943904
33.5,Transient 1,-0.29306744630076276
33.5,Transient 2,1.7206705149493793
33.5,Transient 3,0.2519000898003787
33.5,Transient 4,-0.5324759648539176
33.5,Transient 5,-0.9698597073560384
33.75,Transient 1,-1.666752678183438
33.75,Transient 2,-0.40978130817878106
33.75,Transient 3,0.4382175972022396
33.75,Transient 4,1.4587838833330935
33.75,Transient 5,-0.8951996070113097
34,Transient 1,0.6542499952504158
34,Transient 2,-1.2819039927177853
34,Transient 3,-1.0786395419564025
34,Transient 4,0.04747083306158404
34,Transient 5,0.08415557197380816
34.25,Transient 1,-0.28255173172135883
34.25,Transient 2,-0.5177230251757936
34.25,Transient 3,-0.3834812277196758
34.25,Transient 4,0.8821452684042632
34.25,Transient 5,0.40346315995500065
34.5,Transient 1,-1.824333688260333
34.5,Transient 2,0.5309776220261472
34.5,Transient 3,3.2922988867340175
34.5,Transient 4,0.2503421701687094
34.5,Transient 5,0.6276351167998067
34.75,Transient 1,0.926219803180216
34.75,Transient 2,-0.545199322845039
34.75,Transient 3,-0.5043782270113967
34.75,Transient 4,0.8939758589634544
34.75,Transient 5,1.1182749760419326
35,Transient 1,1.6089292332918461
35,Transient 2,0.2394330508677313
35,Transient 3,-0.7341779387654783
35,Transient 4,-0.5162514623281393
35,Transient 5,-0.0934342448132425
35.25,Transient 1,-0.256723552176269
35.25,Transient 2,0.45204962367012713
35.25,Transient 3,1.6787142441865974
35.25,Transient 4,0.4377798103821712
35.25,Transient 5,1.4677308408380465
35.5,Transient 1,-1.8157921165043562
35.5,Transient 2,-0.9929661497657094
35.5,Transient 3,-0.2774538186435162
35.5,Transient 4,-0.36341857388792354
35.5,Transient 5,-0.9514332000904439
35.75,Transient 1,0.21015195188039743
35.75,Transient 2,-1.0557097427143833
35.75,Transient 3,-0.6557659472870783
35.75,Transient 4,-0.5801979415533186
35.75,Transient 5,-2.0305461123905952
36,Transient 1,0.3820909424072193
36,Transient 2,-0.516977888315907
36,Transient 3,1.4547750665448735
36,Transient 4,0.024788472423405615
36,Transient 5,0.7292868173024244
36.25,Transient 1,-0.9701970687248236
36.25,Transient 2,-1.0334576725836042
36.25,Transient 3,1.2212903884977044
36.25,Transient 4,-2.4668991002276734
36.25,Transient 5,1.1042351369183017
36.5,Transient 1,-0.0415824311889375
36.5,Transient 2,2.450568119532843
36.5,Transient 3,0.9857262643753463
36.5,Transient 4,-0.6364377685323772
36.5,Transient 5,1.0449923984313176
36.75,Transient 1,0.35345489799155255
36.75,Transient 2,-0.25654004864847285
36.75,Transient 3,-1.0842858958877784
